SYMB_COMPANY_NAME, SM_KEY_SYMBOL, SM_NEW_SYMBOL, SM_APPLICABLE_FROM
PGIM India Fixed Duration Fund - Series AB - DPG,DPRMABD1,PGIMABD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AB - RPADPO,DPRMABAD,PGIMABADD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AB - RPG,DPRMABGP,PGIMABGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AB - RPQDPO,DPRMABQD,PGIMABQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AB - RPRDPO,DPRMABDP,PGIMABDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AC - DPADPO,DPRMACD4,PGIMACD4D,22-AUG-2019
PGIM India Fixed Duration Fund - Series AC - DPG,DPRMACD1,PGIMACD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AC - DPRDPO,DPRMACD2,PGIMACD2D,22-AUG-2019
PGIM India Fixed Duration Fund - Series AC - RPADPO,DPRMACAD,PGIMACADD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AC - RPG,DPRMACGP,PGIMACGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AC - RPQDPO,DPRMACQD,PGIMACQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AC - RPRDPO,DPRMACDP,PGIMACDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AE - DPADPO,DPRMAED4,PGIMAED4D,22-AUG-2019
PGIM India Fixed Duration Fund - Series AE - DPG,DPRMAED1,PGIMAED1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AE - RPADPO,DPRMAEAD,PGIMAEADD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AE - RPG,DPRMAEGP,PGIMAEGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AE - RPRDPO,DPRMAEDP,PGIMAEDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AF - DPADPO,DPRMFAD4,PGIMFAD4D,22-AUG-2019
PGIM India Fixed Duration Fund - Series AF - DPG,DPRMFAD1,PGIMFAD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AF - RPADPO,DPRMFAAD,PGIMFAADD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AF - RPG,DPRMFAGP,PGIMFAGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AF - RPQDPO,DPRMFAQD,PGIMFAQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AG - DPG,DPRMAGD1,PGIMAGD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AG - RPG,DPRMAGGP,PGIMAGGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AH - DPADPO,DPRMAHD4,PGIMAHD4D,22-AUG-2019
PGIM India Fixed Duration Fund - Series AH - DPG,DPRMAHD1,PGIMAHD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AH - DPQDPO,DPRMAHD3,PGIMAHD3D,22-AUG-2019
PGIM India Fixed Duration Fund - Series AH - RPADPO,DPRMAHAD,PGIMAHADD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AH - RPG,DPRMAHGP,PGIMAHGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AH - RPQDPO,DPRMAHQD,PGIMAHQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AP - DPG,DPRMAPD1G,PGIMAPD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AP - RPG,DPRMAPGPG,PGIMAPGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AP - RPSDPO,DPRMAPDPD,PGIMAPDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AQ - DPG,DPRMAQD1G,PGIMAQD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AQ - DPSDPO,DPRMAQD2D,PGIMAQD2D,22-AUG-2019
PGIM India Fixed Duration Fund - Series AQ - RPG,DPRMAQGPG,PGIMAQGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AR - DPG,DPRMARD1G,PGIMRAD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AR - RPG,DPRMARGPG,PGIMRAGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AR - RPQDPO,DPRMARQDD,PGIMRAQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AR - RPSDPO,DPRMARDPD,PGIMRADPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AT - DPG,DPRMATD1G,PGIMATD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AT - RPG,DPRMATGPG,PGIMATGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AT - RPQDPO,DPRMATQDD,PGIMATQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AT - RPSDPO,DPRMATDPD,PGIMATDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AU - DPG,DPRMAUD1G,PGIMAUD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AU - RPG,DPRMAUGPG,PGIMAUGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AU - RPQDPO,DPRMAUQDD,PGIMAUQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AU - RPSDPO,DPRMAUDPD,PGIMAUDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AY - DPG,DPRMAYD1G,PGIMAYD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AY - RPG,DPRMAYGPG,PGIMAYGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AZ - DPG,DPRMAZD1G,PGIMAZD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AZ - RPG,DPRMAZGPG,PGIMAZGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AZ - RPSDPO,DPRMAZDPD,PGIMAZDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BA - DPG,DPRMBAD1G,PGIMBAD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series BA - RPG,DPRMBAGPG,PGIMBAGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series BA - RPQDPO,DPRMBAQDD,PGIMBAQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BA - RPSDPO,DPRMBADPD,PGIMBADPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BB - DPG,DPRMBBD1G,PGIMBBD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series BB - RPG,DPRMBBGPG,PGIMBBGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series BB - RPQDPO,DPRMBBQDD,PGIMBBQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BB - RPSDPO,DPRMBBDPD,PGIMBBDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BC - DPG,DPRMBCD1G,PGIMBCD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series BC - DPSDT,DPRMBCD2S,PGIMBCD2S,22-AUG-2019
PGIM India Fixed Duration Fund - Series BC - RPG,DPRMBCGPG,PGIMBCGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series BC - RPQDPO,DPRMBCQDD,PGIMBCQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BC - RPSDPO,DPRMBCDPD,PGIMBCDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BE - DPG,DPRMBED1G,PGIMBED1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series BE - RPG,DPRMBEGPG,PGIMBEGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series BE - RPQDPO,DPRMBEQDD,PGIMBEQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BE - RPSDPO,DPRMBEDPD,PGIMBEDPD,22-AUG-2019
PGIM India Large Cap Fund Series 2 - DPDPO,DWSLCFS2DD,PGIMC6D2D,22-AUG-2019
PGIM India Large Cap Fund Series 2 - DPG,DWSLCFS2DG,PGIMC6D1G,22-AUG-2019
PGIM India Large Cap Fund Series 2 - RPDPO,DWSLCFS2RD,PGIMC6DPD,22-AUG-2019
PGIM India Large Cap Fund Series 2 - RPG,DWSLCFS2RG,PGIMC6GPG,22-AUG-2019
PIL ITALICA LIFESTYLE LIMITED,PILIND,PILITA,03-SEP-2015
PSL Limited,PSLHOLD,PSL,19-MAY-2003
PVP Ventures Limited,SOFTSOLINT,PVP,23-JUN-2008
Paisalo Digital Limited,SEINV,PAISALO,24-JAN-2018
Palred Technologies Limited,FOURSOFT,PALRED,16-JAN-2014
Panasonic AVC Networks India Company Limited.,MTAL,PAVCI,12-MAR-2004
Parrys Sugar Industries Limited,GMRINDS,PARRYSUGAR,02-DEC-2010
Pearl Global Industries Limited,HOPFL,PGIL,02-JUL-2012
Peninsula Land Limited,MORAREALTY,PENINLAND,09-JUN-2006
Peninsula Land Limited,MORARJESPG,MORAREALTY,15-OCT-2004
Pharmacia Healthcare Limited,ABBOTTLAB,PHARMACIA,24-MAR-2003
Phoenix Lamps Limited,HALONIX,PHOENIXLL,30-OCT-2013
Phoenix Lamps Limited,PHOENIXLMP,HALONIX,09-MAR-2009
Piramal Enterprises Limited,PIRHEALTH,PEL,21-SEP-2012
Piramal Enterprises Limited,NICOLASPIR,PIRHEALTH,19-JUN-2008
Piramal Glass Limited,GUJGLASS,PIRGLASS,12-MAY-2008
Piramal Phytocare Limited,PIRLIFE,PIRPHYTO,23-OCT-2013
Pitti Engineering Limited,PITTILAM,PITTIENG,06-JUN-2018
Precot Limited,PRECOTMILL,PRECOT,01-NOV-2006
Premier Limited,PREMAUTO,PREMIER,14-JUN-2005
Pressman Advertising Limited,NUCENT,PRESSMN,11-SEP-2013
Pricol Limited,PREMINSTR,PRICOL,16-AUG-2005
Prism Johnson Limited,PRISMCEM,PRSMJOHNSN,04-MAY-2018
Privi Speciality Chemicals Limited,FAIRCHEM,PRIVISCL,14-OCT-2020
Privi Speciality Chemicals Limited,ADI,FAIRCHEM,19-JAN-2017
Procter & Gamble Health Limited,MERCK,PGHL,11-JUN-2019
Procter & Gamble Health Limited,EMERCK,MERCK,05-NOV-2007
Procter & Gamble Hygiene and Health Care Limited,P&G,PGHH,07-JUL-2004
Proseed India Limited,GREENFIRE,PROSEED,18-JUL-2018
Prozone Intu Properties Limited,PROZONECSC,PROZONINTU,07-OCT-2014
Prozone Intu Properties Limited,PROZONE,PROZONECSC,24-SEP-2012
Quintegra Solutions Limited,SOFFIASOFT,QUINTEGRA,22-AUG-2005
RPG Cables Limited,RPGTELECOM,RPGCABLES,04-APR-2006
RPG Transmission Limited,SAELTD,RPGTLTD,05-DEC-2006
RPSG VENTURES LIMITED,CESCVENT,RPSGVENT,01-FEB-2021
RSWM Limited,RAJASSPG,RSWM,01-SEP-2006
Rain Industries Limited,RAINCOM,RAIN,23-AUG-2013
Rain Industries Limited,PRIYADCEM,RAINCOM,03-MAR-2008
Rane Holdings Limited,RANEMADRAS,RANEHOLDIN,22-AUG-2005
RattanIndia Enterprises Limited,RTNINFRA,RTNINDIA,07-APR-2021
RattanIndia Enterprises Limited,IBIPL,RTNINFRA,20-NOV-2014
RattanIndia Power Limited,IBPOW,RTNPOWER,20-NOV-2014
Reliance Broadcast Network Limited,RMEDIA,RBN,20-AUG-2010
Reliance Communications Limited,RCVL,RCOM,30-JUN-2006
Reliance Infrastructure Limited,REL,RELINFRA,16-MAY-2008
Reliance Infrastructure Limited,BSES,REL,12-MAR-2004
Reliance MediaWorks Limited,ADLABSFILM,RELMEDIA,20-OCT-2009
Reliance Naval and Engineering Limited,RDEL,RNAVAL,18-SEP-2017
Reliance Naval and Engineering Limited,PIPAVAVDOC,RDEL,18-MAR-2016
Reliance Naval and Engineering Limited,PIPAVAVYD,PIPAVAVDOC,29-SEP-2011
Renaissance Global Limited,RJL,RGL,08-APR-2019
Roofit Industries Limited,RATNABLDG,ROOFITIND,15-SEP-1999
SBI-ETF Gold,SBIGETS,SETFGOLD,24-NOV-2015
SBI-ETF Nifty 50,SETFNIFTY,SETFNIF50,24-NOV-2015
SBI-ETF Nifty Bank,SETFBANK,SETFNIFBK,24-NOV-2015
SBI-ETF Nifty Next 50,SETFNIFJR,SETFNN50,24-NOV-2015
SECUREKLOUD TECHNOLOGIES LIMITED,8KMILES,SECURKLOUD,20-JAN-2021
SI Group - India Limited,SCHENHERD,SIGROUPIND,28-NOV-2006
SI Group - India Limited,HERDILCHEM,SCHENHERD,04-APR-2006
SIL Investments Limited,SUTLEJINDS,SILINV,21-JUN-2007
SKF India Limited,SKFBEARING,SKFINDIA,20-OCT-2004
SKIL Infrastructure Limited,HORIZONINF,SKIL,24-MAR-2014
SKIL Infrastructure Limited,HORIZONBAT,HORIZONINF,22-FEB-2008
SML Isuzu Limited,SWARAJMAZD,SMLISUZU,17-JAN-2011
SORIL Infra Resources Limited,STOREONE,SORILINFRA,10-JAN-2017
SORIL Infra Resources Limited,IBRETAILS,STOREONE,26-OCT-2009
SORIL Infra Resources Limited,PIRAMYDRET,IBRETAILS,09-JUN-2008
SPICEJET LTD,MODILUFT,SPICEJET,19-AUG-2019
SPML Infra Limited,SUBHASPROJ,SPMLINFRA,14-MAY-2010
SREI Infrastructure Finance Limited,SREINTFIN,SREINFRA,21-JUL-2010
SVOGL Oil Gas And Energy Limited,SHIV-VANI,SVOGL,23-OCT-2015
Sagar Cements Limited,SAGARCEM,SAGCEM,29-JAN-2007
Sambhaav Media Limited,PERLENGINF,SAMBHAAV,18-OCT-2005
Sanofi India Limited,AVENTIS,SANOFI,11-JUL-2012
Sanofi India Limited,HOECHST,AVENTIS,19-MAY-2003
Saregama India Limited,GRAMOPHONE,SAREGAMA,20-AUG-2001
Sastasundar Ventures Limited,MICROSEC,SASTASUNDR,22-NOV-2016
Sathavahana Ispat Limited,SATHVANISP,SATHAISPAT,27-DEC-2006
Savita Oil Technologies Limited,SAVITACHEM,SOTL,24-AUG-2009
Schaeffler India Limited,FAGBEARING,SCHAEFFLER,01-AUG-2017
Schaeffler India Limited,FAGPRECISN,FAGBEARING,20-AUG-2001
Seamec Limited,PEERLESHIP,SEAMECLTD,20-AUG-2001
Setubandhan Infrastructure Limited,PRAKASHCON,SETUINFRA,30-JUL-2019
Sezal Glass Limited,SEJALGLASS,SEZALGLASS,14-JUL-2010
Shalimar Paints Limited,SHALMPAINT,SHALPAINTS,03-MAR-2008
Shasun Pharmaceuticals Limited,SHASUNCHEM,SHASUNPHAR,28-JAN-2011
Shirpur Gold Refinery Limited,AGEEGOLD,SHIRPUR-G,17-JAN-2013
Shiva Texyarn Limited,ANAMALFIN,SHIVTEX,22-JAN-2004
Shreyas Shipping & Logistics Limited,SHREYASHIP,SHREYAS,03-APR-2006
Shri Aster Silicates Limited,ASTERSILI,SHRIASTER,03-FEB-2014
Simplex Infrastructures Limited,SIMPLEXCON,SIMPLEXINF,21-DEC-2005
Siti Networks Limited,SITICABLE,SITINET,17-AUG-2016
Siti Networks Limited,WWIL,SITICABLE,03-OCT-2012
Siyaram Silk Mills Limited,SIYARSILK,SIYSIL,29-JAN-2007
Smartlink Holdings Limited,D-LINK,SMARTLINK,29-JUL-2009
Solar Industries India Limited,SOLAREX,SOLARINDS,13-APR-2009
Somany Ceramics Limited,SPLLTD,SOMANYCERA,21-MAR-2007
Sovereign Gold Bonds 2.75% NOV 2023 Tr-I,GBNOV23,SBNOV23,15-SEP-2016
Sovereign Gold Bonds 2.75% NOV 2023 Tr-I,SBNOV23,SGBNOV23,15-SEP-2016
Spentex Industries Limited,SPENTXIND,SPENTEX,20-DEC-2006
Sri Havisha Hospitality and Infrastructure Limited,SHAKTIGAS,HAVISHA,12-APR-2018
Srikalahasthi Pipes Limited,LANCOIN,SRIPIPES,17-DEC-2014
Srikalahasthi Pipes Limited,LANCOIND,LANCOIN,28-AUG-2007
Stel Holdings Limited,SENTINEL,STEL,08-NOV-2011
Sterling Biotech Limited,STERLINTEA,STERLINBIO,09-JUL-2003
Sterlite Technologies Limited,STRTECH,STLTECH,29-OCT-2020
Sterlite Technologies Limited,STROPTICAL,STRTECH,17-DEC-2007
Summit Securities Limited,KECINFRA,SUMMIT,21-APR-2008
Summit Securities Limited,KECINTL,KECINFRA,21-FEB-2006
Sunflag Iron And Steel Company Limited,SUNFLAGIRN,SUNFLAG,29-SEP-2005
Supreme Tex Mart Limited,SUPREMYARN,SUPREMETEX,15-FEB-2008
Surana Solar Limited,SURANAVEL,SURANASOL,19-NOV-2014
Surana Telecom and Power Limited,SURANATELE,SURANAT&P,08-FEB-2010
Swelect Energy Systems Limited,NUMERICPW,SWELECTES,09-JUL-2012
TATA CONSUMER PRODUCTS LIMITED,TATAGLOBAL,TATACONSUM,27-FEB-2020
TATA CONSUMER PRODUCTS LIMITED,TATATEA,TATAGLOBAL,21-JUL-2010
TGB Banquets And Hotels Limited,BHAGWATIHO,TGBHOTELS,31-MAY-2013
TV18 Broadcast Limited,IBN18,TV18BRDCST,19-JUL-2011
TV18 Broadcast Limited,GBN,IBN18,15-MAY-2008
TVS Motor Company Limited,TVS-SUZUKI,TVSMOTOR,03-DEC-2001
TVS Srichakra Limited,SRICHAKTYR,TVSSRICHAK,13-FEB-2007
Tarmat Limited,ROMAN,TARMAT,12-SEP-2012
Tata Coffee Limited,CONSCOFFEE,TATACOFFEE,04-APR-2006
Tata Communications Limited,VSNL,TATACOMM,25-FEB-2008
Tata Investment Corporation Limited,INVESTCORP,TATAINVEST,07-JUL-2005
Tata Motors Limited,TELCO,TATAMOTORS,26-DEC-2003
Tata Steel Bsl Limited,BHUSANSTL,TATASTLBSL,10-DEC-2018
Tata Steel Limited,TISCO,TATASTEEL,17-OCT-2005
Tata Steel Long Products Limited,TATASPONGE,TATASTLLP,03-SEP-2019
Tata Steel Long Products Limited,IPITATASPO,TATASPONGE,11-FEB-2004
Tata Teleservices (Maharashtra) Limited,TATATELSER,TTML,14-JAN-2005
Tata Teleservices (Maharashtra) Limited,HUGHESTELE,TATATELSER,25-JUN-2003
Techindia Nirman Limited,NATHSEED,TECHIN,31-OCT-2014
Tembo Global Industries Limited,SAKETH,TEMBO,13-APR-2020
Texmaco Infrastructure & Holdings Limited,TEXMACOLTD,TEXINFRA,20-MAR-2012
The Investment Trust Of India Limited,FORTUNEFIN,THEINVEST,25-JUL-2018
The Madras Aluminium Company Limited,MADRASALMN,MALCO,12-APR-2007
The Ramco Cements Limited,MADRASCEM,RAMCOCEM,30-SEP-2013
Timken India Limited,TATATIMKEN,TIMKEN,06-FEB-2007
Tirupati Forge Limited,FORGE,TIRUPATIFL,15-JAN-2018
Torrent Power AEC Limited,AHMEDELEC,TORRENTAEC,17-JUN-2005
Torrent Power SEC Limited,SURATELEC,TORRENTSEC,07-JUN-2005
Trent Limited,LAKME,TRENT,07-JUN-2004
Trident Limited,ABSHEKINDS,TRIDENT,03-MAY-2011
Trigyn Technologies Limited,LEADEDSYS,TRIGYN,26-JUL-2005
UFLEX Limited,FLEX,UFLEX,17-APR-2007
UPL Limited,UNIPHOS,UPL,23-OCT-2013
Ujaas Energy Limited,MBSWITCH,UJAAS,23-SEP-2013
Usha Martin Education & Solutions Limited,UMITL,UMESL,07-JAN-2010
Usha Martin Limited,USHABEL,USHAMART,20-OCT-2004
Uttam Value Steels Limited,LLOYDSTEEL,UTTAMVALUE,29-APR-2013
V2 Retail Limited,VISHALRET,V2RETAIL,24-FEB-2012
VA Tech Wabag Limited,VATECH,WABAG,15-DEC-2010
VIP Clothing Limited,MAXWELL,VIPCLOTHNG,21-DEC-2016
VTX Industries Limited,VIJAYTEX,VTXIND,04-APR-2011
Vaibhav Global Limited,VAIBHAVGEM,VAIBHAVGBL,24-DEC-2012
Vakrangee Limited,VAKRANSOFT,VAKRANGEE,27-NOV-2013
Value Industries Limited,VDOCONAPPL,VALUEIND,22-MAY-2008
Vardhman Holdings Limited,VSGML,VHL,17-APR-2006
Vardhman Textiles Limited,MAHAVIRSPG,VTL,11-OCT-2006
Vatsa Music Limited,BABABUSERV,VATSMUSC,20-AUG-2001
Vedanta Limited,SSLT,VEDL,07-MAY-2015
Vedanta Limited,SESAGOA,SSLT,04-OCT-2013
Venky's (India) Limited,WESTHATCH,VENKEYS,17-SEP-2003
Videocon Industries Limited,VDOLEASE,VIDEOIND,21-SEP-2004
Vidhi Specialty Food Ingredients Limited,VIDHIDYE,VIDHIING,01-MAR-2017
Vikas EcoTech Limited,VIKASGLOB,VIKASECO,21-DEC-2015
Vikas Lifecare Limited,VIKASMCORP,VIKASLIFE,06-MAY-2021
W S Industries (I) Limited,WSIND,WSI,01-AUG-2007
WABCO India Limited,WABCO-TVS,WABCOINDIA,06-SEP-2011
WE WIN LIMITED,SUREVIN,WEWIN,01-JUL-2020
Wartsila India Limited,WARTDEISEL,WARTSILA,20-SEP-2000
Welspun Corp Limited,WELGUJ,WELCORP,17-MAY-2010
Welspun Enterprises Limited,WELPROJ,WELENT,24-JUN-2015
Welspun Enterprises Limited,MSKPROJ,WELPROJ,04-JAN-2011
Wendt (India) Limited,WENDTINDIA,WENDT,07-AUG-2006
Windsor Machines Limited,DGPWINDSOR,WINDSOR,05-APR-2005
Winsome Diamonds and Jewellery Limited,SURAJDIAMN,WINSOMEDJ,24-JUL-2012
Wopolin Plastics Limited,BAJAJPLAST,WOPOLIN,23-NOV-2005
Wyeth Limited,WYETHLEDE,WYETH,01-SEP-2006
XL Energy Limited,XLTELENE,XLENERGY,13-DEC-2010
XL Energy Limited,XLTL,XLTELENE,22-JUL-2009
Xchanging Solutions Limited,CAMBRIDGE,XCHANGING,25-JUN-2012
Xchanging Solutions Limited,SCANDENT,CAMBRIDGE,17-JUL-2006
Yaarii Digital Integrated Services Limited,IBULISL,YAARII,08-DEC-2020
Yaarii Digital Integrated Services Limited,SORILHOLD,IBULISL,08-JUN-2018
Yaarii Digital Integrated Services Limited,IBWSL,SORILHOLD,18-APR-2017
Zandu Realty Limited,ZANDUPHARM,ZANDUREALT,10-MAR-2010
Zee Entertainment Enterprises Limited,ZEETELE,ZEEL,28-FEB-2007
Zee Media Corporation Limited,ZEENEWS,ZEEMEDIA,30-JUL-2013
Zenith Steel Pipes & Industries Limited,ZENITHBIR,ZENITHSTL,19-AUG-2020
Zensar Technologies Limited,FUJITSICIM,ZENSARTECH,04-MAR-2004
Zuari Global Limited,ZUARIAGRO,ZUARIGLOB,25-SEP-2012
e-Serve International Limited,CITICORSEC,E-SERVEINT,09-JUL-2003
iGate Global Solutions Limited,MASCOT,IGS,07-AUG-2003
